K = 100;

P = [ 32 83 34 73 27 38 42 60 38 24 84 90 39 60 56 80 33 60 63 77 12 80 50 73 88 40 13 58 75 90 89 30 24 80 71 75 15 13 90 67 86 99 36 35 98 73 11 12 51 96 51 94 73 92 50 61 53 53 31 80 98 23 75 31 38 87 33 65 99 75 89 28 96 11 15 59 53 81 14 38 34 83 17 87 52 94 66 52 71 85 40 99 47 77 16 68 94 14 85 52 ];

R = [ 15 28 8 6 31 11 48 46 35 30 37 30 50 10 30 37 4 28 9 17 33 30 9 16 18 35 12 18 43 39 32 48 25 32 36 4 27 18 47 22 8 4 28 22 25 30 21 37 45 2 47 10 37 49 26 30 41 45 17 24 44 20 1 49 44 40 42 29 5 1 10 32 25 17 10 15 17 6 42 7 3 5 2 26 8 7 43 48 48 47 42 30 42 47 20 35 45 49 10 31 ];

A = [ 6 4 4 2 2 3 3 4 3 5 5 2 3 3 3 4 4 5 4 6 4 2 6 3 6 3 2 5 5 4 2 2 2 4 2 2 2 3 3 6 5 3 5 5 4 5 3 2 6 6 2 2 2 6 5 3 6 5 3 3 2 2 5 2 5 3 4 5 6 2 5 6 6 5 4 3 4 3 4 2 3 5 6 3 5 5 3 2 2 2 2 5 5 3 3 5 4 3 6 3 ];

C = [ 8 8 7 9 7 2 9 7 5 8 3 5 6 6 3 3 2 5 3 5 7 5 9 3 2 4 4 8 6 5 3 8 3 4 8 8 2 5 7 3 5 6 4 6 6 2 4 5 9 5 9 4 8 3 6 9 7 2 5 4 3 5 2 7 7 4 3 4 7 5 2 8 4 6 4 9 5 9 7 6 3 9 6 6 6 5 3 8 5 5 6 3 8 6 4 9 3 2 5 3 ];

N = 100;

M = [
[ 0 40 31 36 15 34 12 34 36 5 11 15 18 46 16 37 24 43 40 20 41 24 15 12 24 37 47 45 42 48 14 18 7 35 14 15 5 35 31 17 8 5 16 14 37 17 26 44 27 17 32 14 49 17 40 31 49 41 1 16 36 12 28 3 7 36 39 33 50 7 24 24 14 10 6 49 24 5 43 19 5 43 43 43 46 17 36 43 16 32 33 12 47 34 28 29 45 20 26 13 ]
[ 40 0 11 35 15 28 43 41 3 21 23 27 9 45 18 44 29 11 22 30 44 21 5 24 33 11 19 18 26 36 18 14 33 32 40 45 41 31 46 16 23 32 40 41 24 10 45 31 40 5 4 3 30 43 41 15 8 25 21 42 50 36 48 43 21 38 49 49 44 9 28 7 30 6 8 17 29 36 45 16 15 2 34 21 42 25 26 26 20 38 25 19 1 26 18 20 29 34 27 44 ]
[ 31 11 0 4 44 13 43 3 32 15 19 21 29 18 13 39 6 32 17 4 34 33 42 23 35 40 33 38 1 26 11 36 30 46 16 5 22 26 36 42 47 5 46 40 47 3 25 10 18 49 1 22 28 41 18 44 9 24 36 34 16 50 2 7 23 35 34 39 10 50 7 31 47 11 5 25 15 15 4 10 26 38 17 49 44 44 29 43 22 2 18 15 43 37 23 47 12 46 23 36 ]
[ 36 35 4 0 17 49 29 20 43 50 15 36 13 6 29 19 12 6 2 13 5 20 26 23 23 9 2 44 13 44 10 19 42 9 45 32 50 46 36 46 28 5 45 30 7 23 44 14 37 30 32 45 19 26 33 21 26 29 43 4 38 42 18 3 35 33 47 25 43 24 9 40 21 3 16 33 28 20 11 42 35 24 7 8 32 19 10 33 2 50 31 50 37 1 32 33 37 8 40 46 ]
[ 15 15 44 17 0 27 27 14 13 37 1 46 37 13 27 29 20 2 23 28 36 36 16 48 44 22 19 35 19 23 19 43 32 20 11 22 42 1 38 34 40 4 18 45 27 14 30 28 10 43 37 6 43 1 17 33 35 2 46 36 19 31 19 29 19 20 4 3 36 50 4 3 11 47 47 3 15 41 9 30 12 34 13 30 11 24 22 1 17 26 30 36 4 46 12 16 5 3 8 45 ]
[ 34 28 13 49 27 0 43 10 10 1 17 16 21 47 20 5 47 29 21 33 21 18 5 7 37 12 18 31 8 21 18 14 50 8 38 48 50 17 18 25 41 11 50 15 8 35 19 39 11 11 14 21 5 38 50 7 46 21 33 32 44 14 24 13 46 35 48 38 19 20 36 1 21 34 42 18 25 33 5 50 3 21 39 3 23 37 6 37 10 47 3 40 16 46 20 15 43 45 12 6 ]
[ 12 43 43 29 27 43 0 4 36 23 44 15 21 4 32 18 22 19 42 44 3 4 16 50 5 32 10 29 38 21 14 39 30 2 39 10 24 9 24 33 19 29 7 15 11 17 3 5 12 41 27 32 35 20 11 34 6 10 33 8 16 50 13 29 22 50 24 44 33 44 23 42 41 7 20 45 43 2 15 43 47 47 30 26 31 36 23 41 15 9 46 3 23 8 20 49 10 47 8 36 ]
[ 34 41 3 20 14 10 4 0 39 39 40 37 38 39 20 46 9 38 13 3 26 23 5 7 17 23 41 38 19 27 9 2 14 23 50 39 30 36 41 38 30 4 5 37 46 13 49 29 38 25 25 41 39 4 36 29 27 45 16 14 31 31 22 31 38 5 42 17 2 42 25 16 11 22 5 10 19 21 39 33 11 36 28 27 46 19 33 42 48 41 33 9 38 16 16 31 34 9 14 19 ]
[ 36 3 32 43 13 10 36 39 0 38 21 41 44 47 7 1 50 7 47 50 24 23 35 36 29 21 22 16 44 38 45 23 18 6 28 25 27 22 27 7 46 42 43 6 2 38 13 35 5 39 49 45 6 9 49 43 17 9 34 10 3 9 24 45 31 10 31 49 34 39 14 8 24 4 31 20 38 32 23 15 49 45 7 16 26 14 28 16 18 1 42 50 15 29 48 4 26 7 17 1 ]
[ 5 21 15 50 37 1 23 39 38 0 10 43 47 7 42 41 45 2 34 25 24 12 28 6 1 36 22 9 14 2 44 14 1 46 22 11 31 27 21 19 43 49 5 6 27 10 16 14 25 46 48 41 22 37 27 10 42 49 24 1 24 5 18 40 29 16 33 2 42 26 49 17 31 10 47 43 13 43 14 49 42 20 47 12 19 29 47 27 48 12 41 21 4 44 18 22 39 50 45 40 ]
