K = 20;

P = [ 15 58 41 24 31 25 34 15 16 52 48 70 94 88 31 41 68 18 55 73 ];

R = [ 50 20 10 5 42 5 48 42 1 12 20 13 1 17 28 32 29 39 6 40 ];

A = [ 6 4 6 3 3 4 2 3 5 3 2 4 2 5 6 2 5 4 6 5 ];

C = [ 9 4 4 8 6 4 2 7 8 4 4 2 6 4 7 9 4 4 6 6 ];

N = 20;

M = [
[ 0 39 36 26 18 24 20 39 49 49 5 45 12 48 41 50 5 23 46 42 ]
[ 39 0 46 24 23 31 15 9 11 29 32 25 34 40 2 18 37 19 32 33 ]
[ 36 46 0 16 49 37 31 28 41 8 3 47 29 44 30 36 50 16 37 17 ]
[ 26 24 16 0 19 13 36 23 24 14 18 1 23 2 45 10 7 48 39 6 ]
[ 18 23 49 19 0 50 26 48 40 5 37 5 1 39 4 39 49 41 26 50 ]
[ 24 31 37 13 50 0 46 37 25 27 49 30 46 8 49 14 3 41 7 19 ]
[ 20 15 31 36 26 46 0 16 5 41 12 3 4 15 26 41 37 26 35 7 ]
[ 39 9 28 23 48 37 16 0 16 9 9 11 49 33 41 20 38 18 38 16 ]
[ 49 11 41 24 40 25 5 16 0 16 36 27 42 22 35 28 20 47 1 26 ]
[ 49 29 8 14 5 27 41 9 16 0 5 4 3 20 42 40 40 46 16 31 ]
[ 5 32 3 18 37 49 12 9 36 5 0 8 39 24 13 35 7 25 45 30 ]
[ 45 25 47 1 5 30 3 11 27 4 8 0 47 29 42 36 25 9 40 43 ]
[ 12 34 29 23 1 46 4 49 42 3 39 47 0 45 49 24 24 3 40 27 ]
[ 48 40 44 2 39 8 15 33 22 20 24 29 45 0 11 19 36 48 48 21 ]
[ 41 2 30 45 4 49 26 41 35 42 13 42 49 11 0 17 15 44 17 47 ]
[ 50 18 36 10 39 14 41 20 28 40 35 36 24 19 17 0 20 6 20 28 ]
[ 5 37 50 7 49 3 37 38 20 40 7 25 24 36 15 20 0 8 41 25 ]
[ 23 19 16 48 41 41 26 18 47 46 25 9 3 48 44 6 8 0 7 35 ]
[ 46 32 37 39 26 7 35 38 1 16 45 40 40 48 17 20 41 7 0 37 ]
[ 42 33 17 6 50 19 7 16 26 31 30 43 27 21 47 28 25 35 37 0 ]
 ];

