K = 30;

P = [ 44 89 51 98 73 71 30 30 30 78 41 77 75 93 85 78 60 63 37 38 73 81 48 97 78 27 17 88 96 89 ];

R = [ 27 36 23 50 20 2 46 13 20 19 12 2 33 39 10 3 16 45 21 3 44 19 1 14 41 15 29 30 38 35 ];

A = [ 4 6 5 5 2 3 6 6 6 6 4 2 3 2 4 4 6 5 2 5 6 2 6 2 6 6 3 6 2 3 ];

C = [ 2 2 9 8 5 2 5 7 8 9 7 8 6 9 5 2 5 6 3 6 6 7 9 9 7 4 8 7 2 6 ];

N = 30;

M = [
[ 0 12 10 42 36 50 27 25 49 41 17 36 45 50 21 20 27 44 29 28 9 13 48 22 11 9 5 23 17 15 ]
[ 12 0 10 20 36 31 15 50 28 10 23 33 14 12 38 23 30 45 19 2 20 8 18 18 48 6 11 48 35 1 ]
[ 10 10 0 33 46 50 28 16 25 43 35 36 40 14 36 14 39 20 20 2 21 22 24 32 26 42 33 42 28 15 ]
[ 42 20 33 0 15 27 13 37 39 38 23 15 21 10 49 33 16 30 13 49 18 34 14 44 18 14 9 6 24 31 ]
[ 36 36 46 15 0 1 38 17 12 31 17 25 15 49 10 44 27 21 32 29 22 41 46 48 27 50 35 16 44 3 ]
[ 50 31 50 27 1 0 37 10 18 42 32 44 34 6 22 2 5 14 15 47 3 24 43 5 9 35 33 22 28 24 ]
[ 27 15 28 13 38 37 0 41 1 20 50 22 11 8 7 7 19 44 38 32 13 10 15 44 11 30 22 36 15 13 ]
[ 25 50 16 37 17 10 41 0 41 19 5 11 15 33 24 10 7 39 32 5 32 32 17 45 11 47 34 17 5 30 ]
[ 49 28 25 39 12 18 1 41 0 37 35 37 32 31 41 25 3 43 2 21 2 40 48 32 43 48 6 29 22 10 ]
[ 41 10 43 38 31 42 20 19 37 0 19 33 42 27 44 25 35 37 14 25 29 1 21 42 9 23 15 8 7 19 ]
[ 17 23 35 23 17 32 50 5 35 19 0 44 50 39 36 50 1 38 19 50 11 4 32 7 13 31 13 23 10 31 ]
[ 36 33 36 15 25 44 22 11 37 33 44 0 49 20 40 32 11 44 14 38 10 6 21 35 18 21 8 22 49 42 ]
[ 45 14 40 21 15 34 11 15 32 42 50 49 0 17 31 27 28 43 30 9 41 3 31 36 26 7 12 11 18 20 ]
[ 50 12 14 10 49 6 8 33 31 27 39 20 17 0 38 12 45 9 28 7 45 34 44 33 13 7 45 9 35 33 ]
[ 21 38 36 49 10 22 7 24 41 44 36 40 31 38 0 1 26 44 43 4 47 9 26 5 1 2 27 7 17 38 ]
[ 20 23 14 33 44 2 7 10 25 25 50 32 27 12 1 0 14 35 12 29 35 12 16 9 5 28 5 4 34 28 ]
[ 27 30 39 16 27 5 19 7 3 35 1 11 28 45 26 14 0 25 42 47 9 46 10 12 10 8 34 15 13 26 ]
[ 44 45 20 30 21 14 44 39 43 37 38 44 43 9 44 35 25 0 18 22 41 4 17 50 28 27 49 27 10 50 ]
[ 29 19 20 13 32 15 38 32 2 14 19 14 30 28 43 12 42 18 0 2 16 48 5 44 36 16 35 11 43 5 ]
[ 28 2 2 49 29 47 32 5 21 25 50 38 9 7 4 29 47 22 2 0 1 3 16 36 35 20 28 29 14 39 ]
[ 9 20 21 18 22 3 13 32 2 29 11 10 41 45 47 35 9 41 16 1 0 50 16 21 44 1 13 42 40 3 ]
[ 13 8 22 34 41 24 10 32 40 1 4 6 3 34 9 12 46 4 48 3 50 0 10 40 22 18 7 23 21 42 ]
[ 48 18 24 14 46 43 15 17 48 21 32 21 31 44 26 16 10 17 5 16 16 10 0 48 44 1 35 47 4 38 ]
[ 22 18 32 44 48 5 44 45 32 42 7 35 36 33 5 9 12 50 44 36 21 40 48 0 25 20 39 50 50 44 ]
[ 11 48 26 18 27 9 11 11 43 9 13 18 26 13 1 5 10 28 36 35 44 22 44 25 0 44 47 39 23 47 ]
[ 9 6 42 14 50 35 30 47 48 23 31 21 7 7 2 28 8 27 16 20 1 18 1 20 44 0 27 15 28 47 ]
[ 5 11 33 9 35 33 22 34 6 15 13 8 12 45 27 5 34 49 35 28 13 7 35 39 47 27 0 33 13 49 ]
[ 23 48 42 6 16 22 36 17 29 8 23 22 11 9 7 4 15 27 11 29 42 23 47 50 39 15 33 0 46 19 ]
[ 17 35 28 24 44 28 15 5 22 7 10 49 18 35 17 34 13 10 43 14 40 21 4 50 23 28 13 46 0 17 ]
[ 15 1 15 31 3 24 13 30 10 19 31 42 20 33 38 28 26 50 5 39 3 42 38 44 47 47 49 19 17 0 ]
 ];

