K = 50;

P = [ 96 76 68 13 25 94 23 28 88 37 55 84 39 27 38 27 29 38 50 63 60 81 27 60 56 29 100 69 59 73 72 64 89 58 89 14 17 74 27 11 91 73 92 90 22 99 42 78 99 87 ];

R = [ 29 49 37 3 50 35 50 43 10 48 6 18 19 35 2 13 34 7 31 15 10 18 14 34 4 34 32 27 34 7 26 21 2 45 13 5 6 41 29 10 30 31 45 36 26 29 25 43 21 40 ];

A = [ 3 4 5 2 5 4 5 4 3 5 2 3 6 5 3 2 4 4 6 3 5 2 5 3 4 5 3 3 2 5 6 5 6 5 5 4 3 5 5 3 6 2 4 4 6 3 4 4 2 2 ];

C = [ 6 3 2 5 5 4 9 6 9 8 3 2 7 9 9 2 5 6 6 6 5 4 8 2 2 6 7 4 9 3 4 8 9 2 6 7 8 4 8 6 5 2 6 7 6 3 9 7 2 4 ];

N = 50;

M = [
[ 0 21 46 11 16 27 12 9 43 6 4 7 50 4 41 15 34 25 26 36 41 45 16 42 26 19 11 2 3 13 13 29 39 26 27 19 29 19 14 4 6 8 40 33 5 18 34 44 45 25 ]
[ 21 0 34 14 48 36 36 38 50 48 43 7 49 8 48 28 14 3 30 48 15 21 47 16 48 4 17 18 47 22 38 5 40 27 13 30 12 5 39 20 50 29 49 18 5 49 10 9 39 44 ]
[ 46 34 0 20 8 34 15 35 24 22 38 48 1 36 47 44 50 20 44 46 44 27 35 24 45 7 7 3 17 47 2 21 8 30 20 35 46 26 34 5 2 22 50 1 40 21 25 11 7 39 ]
[ 11 14 20 0 3 41 30 6 19 3 2 37 38 8 6 41 26 37 35 15 8 24 34 48 6 34 14 36 30 24 44 27 4 24 48 31 24 33 5 1 1 35 24 50 45 10 14 45 15 7 ]
[ 16 48 8 3 0 43 11 47 13 23 48 45 5 34 44 41 38 44 22 26 23 27 9 45 19 19 6 30 49 14 6 21 25 12 20 16 27 9 28 22 3 9 10 13 21 7 15 32 15 27 ]
[ 27 36 34 41 43 0 16 34 37 34 28 3 3 14 27 12 47 2 34 21 32 39 36 6 17 50 47 1 21 9 11 32 6 34 14 20 19 36 16 49 5 18 34 28 4 1 29 47 49 41 ]
[ 12 36 15 30 11 16 0 50 35 5 16 49 49 21 19 13 39 21 23 47 21 43 21 26 30 24 36 1 47 37 15 22 9 28 26 47 15 6 48 30 44 35 34 38 36 4 27 47 36 42 ]
[ 9 38 35 6 47 34 50 0 49 34 7 35 2 4 37 41 11 31 42 16 3 11 33 43 33 41 12 49 31 42 34 46 28 48 8 46 25 17 35 20 41 40 39 30 3 6 39 8 32 17 ]
[ 43 50 24 19 13 37 35 49 0 48 42 36 21 27 32 1 1 32 6 29 32 14 48 41 35 20 35 50 28 7 37 27 46 40 3 14 34 49 4 28 38 12 26 22 36 22 22 22 26 32 ]
[ 6 48 22 3 23 34 5 34 48 0 26 43 49 2 7 23 33 4 43 31 26 18 14 16 13 13 12 35 13 23 30 36 2 45 8 1 35 14 4 14 15 26 48 17 38 35 26 11 23 47 ]
[ 4 43 38 2 48 28 16 7 42 26 0 39 46 23 11 30 32 28 31 43 44 7 21 14 12 3 34 17 33 41 39 32 35 15 14 34 40 12 45 50 9 1 48 43 24 15 29 22 39 25 ]
[ 7 7 48 37 45 3 49 35 36 43 39 0 44 36 6 5 24 14 12 3 32 38 16 8 34 8 45 28 37 47 23 1 43 19 39 38 21 5 44 28 5 1 8 31 12 37 43 8 13 50 ]
[ 50 49 1 38 5 3 49 2 21 49 46 44 0 15 45 25 29 19 19 40 11 5 45 38 44 48 3 5 39 30 35 6 32 7 31 35 44 12 23 24 49 13 41 42 10 19 31 5 11 24 ]
[ 4 8 36 8 34 14 21 4 27 2 23 36 15 0 40 33 9 30 20 10 44 22 30 14 47 46 10 36 48 22 46 6 24 9 47 16 14 10 9 3 28 3 18 15 12 15 39 8 40 28 ]
[ 41 48 47 6 44 27 19 37 32 7 11 6 45 40 0 43 5 29 42 11 3 49 26 17 42 23 50 25 28 32 37 41 32 15 3 31 16 27 42 25 39 14 9 31 38 40 21 39 13 22 ]
[ 15 28 44 41 41 12 13 41 1 23 30 5 25 33 43 0 45 43 13 12 39 46 31 50 6 23 31 9 44 42 48 18 29 20 8 46 28 32 18 18 18 49 37 43 22 11 24 42 44 37 ]
[ 34 14 50 26 38 47 39 11 1 33 32 24 29 9 5 45 0 15 29 4 22 14 48 23 32 28 24 23 2 10 38 29 44 24 14 34 14 3 42 26 15 14 39 38 39 50 34 11 17 34 ]
[ 25 3 20 37 44 2 21 31 32 4 28 14 19 30 29 43 15 0 5 2 50 50 30 49 45 11 44 15 31 5 9 36 22 14 8 4 22 30 24 2 37 31 35 37 22 2 12 44 21 28 ]
