K = 50;

P = [ 35 20 84 44 92 28 86 78 13 84 88 60 82 61 97 23 38 31 74 34 57 21 57 76 97 34 28 35 77 55 54 16 96 41 72 23 77 29 36 10 86 40 97 60 54 45 29 59 42 35 ];

R = [ 35 26 18 32 27 33 41 16 35 15 37 46 48 28 42 18 49 4 31 21 11 48 27 46 44 20 16 39 44 38 38 14 6 14 50 40 28 2 31 39 41 49 43 20 49 49 40 27 39 37 ];

A = [ 6 2 6 4 5 4 6 2 6 2 3 5 5 3 3 3 5 5 2 6 5 5 2 6 3 4 2 5 3 6 6 6 2 5 4 5 4 4 4 2 3 4 2 4 4 5 4 3 3 6 ];

C = [ 4 3 3 3 3 2 3 2 7 8 4 2 3 7 5 8 2 5 4 9 3 8 9 7 8 9 7 5 5 7 8 9 9 4 2 8 8 7 5 4 9 4 9 6 7 2 5 5 2 5 ];

N = 50;

M = [
[ 0 18 3 48 22 11 37 40 41 42 6 41 49 10 45 33 39 35 7 17 5 38 11 34 50 43 37 14 25 46 11 22 10 17 7 14 17 22 33 28 42 11 4 8 9 15 16 22 31 12 ]
[ 18 0 28 6 8 21 10 32 25 40 23 11 40 40 44 19 40 8 42 46 21 6 42 9 25 18 26 31 5 43 27 36 19 17 4 44 27 50 30 3 35 45 1 15 5 27 39 2 26 40 ]
[ 3 28 0 23 34 11 37 17 36 2 35 19 31 15 2 36 34 5 11 39 8 38 25 47 28 23 46 44 41 3 44 23 37 45 21 50 48 5 36 46 3 43 27 36 25 31 39 34 12 42 ]
[ 48 6 23 0 44 39 45 17 38 13 32 7 9 45 10 30 39 24 14 46 19 40 1 11 35 37 1 44 35 24 39 47 30 32 33 29 23 29 19 31 46 34 22 44 24 39 11 15 30 30 ]
[ 22 8 34 44 0 20 25 40 38 50 47 12 11 13 7 26 43 2 47 7 30 28 46 31 50 47 3 43 24 11 31 39 50 17 4 13 11 31 5 32 26 30 2 7 20 17 22 18 10 32 ]
[ 11 21 11 39 20 0 36 39 28 5 2 19 42 27 36 23 20 45 14 16 37 32 13 18 49 33 33 32 18 33 11 31 24 25 13 43 15 13 9 34 8 19 42 36 7 25 28 17 20 23 ]
[ 37 10 37 45 25 36 0 43 11 50 41 24 30 38 1 1 41 40 17 13 1 36 31 24 35 13 11 30 7 50 43 41 45 4 39 40 46 44 7 8 38 33 24 41 44 17 41 46 21 4 ]
[ 40 32 17 17 40 39 43 0 32 20 6 26 49 26 29 8 38 39 14 18 10 47 12 6 36 13 42 32 7 12 23 37 29 31 3 48 14 6 41 23 21 39 25 48 26 7 12 15 26 15 ]
[ 41 25 36 38 38 28 11 32 0 43 20 20 37 48 35 4 35 31 28 46 24 45 47 47 28 35 28 31 44 23 50 14 37 6 16 38 50 13 39 49 48 12 38 20 23 40 47 45 37 17 ]
[ 42 40 2 13 50 5 50 20 43 0 19 35 25 27 31 33 38 32 30 35 43 17 1 45 1 47 46 15 3 29 20 3 30 19 17 1 7 6 46 36 38 49 49 20 7 46 15 35 34 10 ]
