K = 5;

P = [ 19 13 18 12 61 ];

R = [ 36 45 50 45 41 ];

A = [ 2 2 3 6 4 ];

C = [ 3 4 9 7 2 ];

N = 15;

M = [
[ 0 50 30 1 28 35 37 30 6 13 39 49 10 27 9 ]
[ 50 0 32 46 3 24 7 8 3 33 25 11 11 9 18 ]
[ 30 32 0 42 4 14 10 35 5 18 14 38 25 44 49 ]
[ 1 46 42 0 47 19 16 39 42 47 50 48 35 30 34 ]
[ 28 3 4 47 0 31 34 21 5 47 14 48 48 25 9 ]
[ 35 24 14 19 31 0 4 25 13 38 8 32 20 43 36 ]
[ 37 7 10 16 34 4 0 50 11 45 11 14 29 24 8 ]
[ 30 8 35 39 21 25 50 0 14 10 31 27 31 7 31 ]
[ 6 3 5 42 5 13 11 14 0 43 8 22 15 5 35 ]
[ 13 33 18 47 47 38 45 10 43 0 1 12 30 24 48 ]
[ 39 25 14 50 14 8 11 31 8 1 0 22 4 34 46 ]
[ 49 11 38 48 48 32 14 27 22 12 22 0 10 23 31 ]
[ 10 11 25 35 48 20 29 31 15 30 4 10 0 12 41 ]
[ 27 9 44 30 25 43 24 7 5 24 34 23 12 0 2 ]
[ 9 18 49 34 9 36 8 31 35 48 46 31 41 2 0 ]
 ];

