K = 75;

P = [ 25 78 69 66 60 50 29 63 17 44 63 36 46 53 64 87 84 90 81 88 90 87 56 57 96 12 13 23 99 59 27 56 75 34 31 96 52 97 47 20 70 85 76 75 63 27 76 92 30 18 71 64 91 99 16 82 18 68 58 97 33 30 91 39 21 50 60 58 83 91 71 88 38 93 72 ];

R = [ 32 4 47 35 12 5 14 17 11 35 18 2 15 17 30 27 28 39 22 15 26 8 42 7 10 21 26 43 16 50 37 6 48 15 5 28 3 22 27 40 1 39 2 9 35 49 24 14 5 11 44 38 47 22 40 14 15 23 14 18 1 26 46 35 43 13 13 22 5 12 35 33 37 46 30 ];

A = [ 6 4 5 5 3 3 3 2 6 5 6 3 3 4 4 4 4 5 2 3 6 5 4 4 3 4 5 2 2 2 4 6 2 6 6 2 2 4 5 3 5 2 4 2 3 2 6 3 3 2 3 2 4 5 4 4 6 5 6 6 6 3 4 3 4 5 4 2 6 4 4 3 5 4 6 ];

C = [ 3 4 9 7 7 2 4 2 6 9 3 6 9 5 8 2 7 9 2 9 7 8 6 8 8 5 7 9 5 6 2 4 2 3 5 7 2 9 8 5 8 9 7 6 6 9 7 2 7 7 9 6 8 9 5 6 8 8 7 8 2 4 5 2 2 9 3 8 3 2 9 9 5 9 2 ];

N = 75;

M = [
[ 0 43 33 24 15 6 14 13 8 6 40 34 14 5 16 40 26 5 34 50 46 24 19 13 40 20 45 20 31 20 13 37 33 17 48 9 23 24 25 15 48 47 24 12 20 47 42 11 47 13 31 13 25 17 37 43 39 34 26 39 42 30 18 40 10 6 30 43 36 47 16 41 4 36 43 ]
[ 43 0 19 33 29 26 36 50 32 10 26 24 16 30 7 28 27 22 26 9 4 18 49 33 7 24 3 21 22 49 6 20 19 45 23 4 27 23 18 8 9 50 4 29 27 21 34 41 26 28 31 15 24 10 29 41 7 29 6 18 31 6 10 25 31 4 46 16 22 32 5 12 45 23 6 ]
[ 33 19 0 29 43 29 13 2 14 36 42 29 42 27 14 19 24 27 16 21 12 11 4 44 47 20 48 7 19 50 36 46 9 19 45 50 29 13 46 15 13 37 49 14 5 38 18 3 14 46 45 24 2 26 47 50 32 43 12 2 38 32 46 16 18 2 47 8 25 48 21 43 24 30 49 ]
[ 24 33 29 0 16 3 11 32 14 17 35 30 19 28 35 19 50 2 21 27 47 47 43 46 18 8 44 13 49 24 11 20 21 12 44 25 46 13 33 12 21 5 39 41 21 30 20 22 18 38 41 31 17 39 33 1 38 26 2 6 12 39 2 16 7 31 16 21 46 39 2 28 16 40 24 ]
[ 15 29 43 16 0 33 36 15 42 27 23 29 22 36 22 8 37 1 10 6 46 33 47 3 25 2 19 12 20 48 2 13 44 9 33 18 28 35 37 30 17 47 48 32 46 13 27 14 20 35 43 7 41 10 42 50 19 5 12 8 1 43 28 35 33 27 25 17 30 11 16 44 38 14 46 ]
[ 6 26 29 3 33 0 30 20 41 15 46 14 12 45 29 1 33 26 31 29 44 32 6 50 50 37 4 40 43 47 12 42 47 7 21 16 32 37 36 23 44 39 41 5 3 30 26 9 25 31 16 23 25 49 20 41 15 7 12 33 40 3 47 28 37 4 28 25 38 46 21 22 20 27 8 ]
[ 14 36 13 11 36 30 0 31 28 30 16 13 38 46 33 9 4 23 3 44 14 28 7 34 7 45 29 28 9 31 37 7 45 26 37 21 7 24 30 28 9 16 7 46 12 29 40 47 3 23 14 28 9 36 39 43 46 36 28 32 12 48 14 45 40 25 14 6 18 25 41 4 27 28 8 ]
[ 13 50 2 32 15 20 31 0 30 29 5 9 7 38 31 20 8 4 3 43 46 8 18 19 13 33 29 38 22 27 14 23 24 23 29 34 39 16 23 43 5 35 26 12 6 39 30 33 13 19 37 1 4 18 42 9 11 3 33 6 12 30 26 42 20 22 14 35 34 39 11 26 21 15 17 ]
[ 8 32 14 14 42 41 28 30 0 41 29 12 25 18 3 25 10 45 22 16 49 15 4 42 15 31 14 17 26 6 8 32 5 42 8 22 42 35 21 47 37 13 47 31 12 32 45 16 45 21 23 24 38 42 13 5 50 36 8 47 4 4 28 38 43 38 39 11 2 10 1 4 11 30 1 ]
[ 6 10 36 17 27 15 30 29 41 0 30 29 21 44 14 46 24 4 31 23 48 31 5 39 35 11 33 33 12 44 14 47 45 50 15 9 26 39 44 31 41 30 6 35 50 25 2 38 29 10 7 39 13 41 29 42 10 32 16 46 20 42 35 25 41 30 15 16 42 50 33 15 8 4 18 ]
