K = 11;

P = [ 64 10 68 55 68 72 90 17 52 12 10 ];

R = [ 24 34 31 16 30 28 17 34 6 8 44 ];

A = [ 2 6 6 6 5 6 4 2 4 6 4 ];

C = [ 7 7 6 8 4 7 9 7 4 8 7 ];

N = 27;

M = [
[ 0 41 34 44 21 16 31 28 25 31 26 11 9 15 17 48 36 32 37 15 6 5 41 21 50 16 45 ]
[ 41 0 23 8 15 20 34 5 22 42 35 17 3 13 17 19 31 43 39 8 40 32 15 44 29 20 35 ]
[ 34 23 0 17 46 9 38 30 5 14 23 3 20 19 31 2 11 50 11 6 49 34 33 31 47 6 48 ]
[ 44 8 17 0 31 35 6 49 34 33 23 29 32 29 8 41 1 19 20 36 26 12 18 6 25 4 11 ]
[ 21 15 46 31 0 25 39 22 40 29 48 16 42 30 41 17 1 7 10 44 18 20 48 40 25 27 43 ]
[ 16 20 9 35 25 0 3 47 17 7 44 4 44 8 41 44 2 6 7 25 26 33 37 25 47 3 28 ]
[ 31 34 38 6 39 3 0 7 45 1 21 27 29 49 38 49 2 31 16 38 27 28 28 18 6 20 45 ]
[ 28 5 30 49 22 47 7 0 42 45 46 9 49 33 39 30 18 1 38 37 10 41 16 28 3 26 9 ]
[ 25 22 5 34 40 17 45 42 0 7 34 43 21 36 7 36 21 39 12 50 41 15 50 11 35 37 38 ]
[ 31 42 14 33 29 7 1 45 7 0 6 50 47 22 26 49 47 35 8 16 6 16 11 17 26 23 7 ]
[ 26 35 23 23 48 44 21 46 34 6 0 13 4 40 38 3 30 41 10 46 15 8 2 26 24 35 32 ]
[ 11 17 3 29 16 4 27 9 43 50 13 0 21 20 47 23 10 25 39 34 25 50 2 18 15 31 30 ]
[ 9 3 20 32 42 44 29 49 21 47 4 21 0 16 14 40 7 26 4 12 5 23 38 16 47 48 29 ]
[ 15 13 19 29 30 8 49 33 36 22 40 20 16 0 44 23 38 23 27 15 7 48 43 44 16 37 46 ]
[ 17 17 31 8 41 41 38 39 7 26 38 47 14 44 0 2 9 24 46 17 16 21 42 45 15 18 36 ]
[ 48 19 2 41 17 44 49 30 36 49 3 23 40 23 2 0 31 18 2 50 43 35 12 24 46 30 33 ]
[ 36 31 11 1 1 2 2 18 21 47 30 10 7 38 9 31 0 5 2 1 35 25 39 43 32 48 44 ]
[ 32 43 50 19 7 6 31 1 39 35 41 25 26 23 24 18 5 0 11 2 27 10 31 40 17 46 7 ]
[ 37 39 11 20 10 7 16 38 12 8 10 39 4 27 46 2 2 11 0 31 32 21 25 6 34 18 31 ]
[ 15 8 6 36 44 25 38 37 50 16 46 34 12 15 17 50 1 2 31 0 34 5 25 10 50 23 21 ]
[ 6 40 49 26 18 26 27 10 41 6 15 25 5 7 16 43 35 27 32 34 0 3 6 47 40 38 49 ]
[ 5 32 34 12 20 33 28 41 15 16 8 50 23 48 21 35 25 10 21 5 3 0 3 6 9 49 45 ]
[ 41 15 33 18 48 37 28 16 50 11 2 2 38 43 42 12 39 31 25 25 6 3 0 13 50 14 45 ]
[ 21 44 31 6 40 25 18 28 11 17 26 18 16 44 45 24 43 40 6 10 47 6 13 0 50 11 11 ]
[ 50 29 47 25 25 47 6 3 35 26 24 15 47 16 15 46 32 17 34 50 40 9 50 50 0 20 39 ]
[ 16 20 6 4 27 3 20 26 37 23 35 31 48 37 18 30 48 46 18 23 38 49 14 11 20 0 5 ]
[ 45 35 48 11 43 28 45 9 38 7 32 30 29 46 36 33 44 7 31 21 49 45 45 11 39 5 0 ]
 ];

