K = 12;

P = [ 90 26 48 45 44 22 28 26 14 62 78 49 ];

R = [ 14 48 29 5 40 44 32 32 3 34 20 47 ];

A = [ 6 3 6 3 3 2 6 3 5 5 2 4 ];

C = [ 7 3 6 4 2 7 3 8 9 4 6 2 ];

N = 31;

M = [
[ 0 38 47 16 25 8 47 11 28 17 10 43 42 13 26 1 6 47 14 48 49 21 21 5 22 33 21 44 23 41 42 ]
[ 38 0 34 36 23 2 12 7 3 37 32 9 38 14 48 31 25 50 37 48 9 39 42 21 1 22 16 20 15 40 18 ]
[ 47 34 0 12 50 18 47 40 41 14 19 20 31 30 18 43 24 46 40 46 50 1 15 31 20 49 25 34 3 45 13 ]
[ 16 36 12 0 49 2 11 10 36 11 46 31 37 33 44 40 34 1 16 48 1 46 43 43 9 29 38 41 50 46 2 ]
[ 25 23 50 49 0 31 33 46 43 21 38 6 41 12 21 48 28 39 14 49 21 36 15 18 44 17 10 29 40 12 34 ]
[ 8 2 18 2 31 0 10 4 2 8 49 50 35 30 16 7 39 48 40 38 48 13 21 28 9 50 11 32 16 8 36 ]
[ 47 12 47 11 33 10 0 49 18 9 8 8 39 27 20 34 44 8 32 42 25 42 36 10 12 19 23 32 50 7 21 ]
[ 11 7 40 10 46 4 49 0 45 3 41 32 44 17 24 25 1 47 1 9 16 15 28 14 8 32 23 28 44 17 21 ]
[ 28 3 41 36 43 2 18 45 0 14 24 40 39 22 34 10 34 12 50 23 50 37 37 6 41 5 20 44 35 15 25 ]
[ 17 37 14 11 21 8 9 3 14 0 16 37 16 26 44 27 48 12 24 18 20 14 7 5 34 21 12 22 27 19 34 ]
[ 10 32 19 46 38 49 8 41 24 16 0 38 6 24 29 8 3 12 36 16 21 9 30 32 23 29 25 8 19 18 30 ]
[ 43 9 20 31 6 50 8 32 40 37 38 0 30 4 49 6 7 30 27 9 4 24 36 19 41 30 22 31 39 29 13 ]
[ 42 38 31 37 41 35 39 44 39 16 6 30 0 4 1 8 14 47 42 10 28 14 46 3 7 37 38 6 33 18 50 ]
[ 13 14 30 33 12 30 27 17 22 26 24 4 4 0 10 3 14 15 33 38 24 1 40 4 33 33 16 16 33 21 48 ]
[ 26 48 18 44 21 16 20 24 34 44 29 49 1 10 0 13 26 42 17 36 34 15 14 2 38 39 25 25 1 1 40 ]
[ 1 31 43 40 48 7 34 25 10 27 8 6 8 3 13 0 16 20 30 2 12 36 43 17 45 15 2 20 39 22 5 ]
[ 6 25 24 34 28 39 44 1 34 48 3 7 14 14 26 16 0 4 15 9 29 29 21 6 19 13 33 3 36 38 15 ]
[ 47 50 46 1 39 48 8 47 12 12 12 30 47 15 42 20 4 0 38 23 43 20 34 11 38 27 37 8 9 18 49 ]
[ 14 37 40 16 14 40 32 1 50 24 36 27 42 33 17 30 15 38 0 10 1 1 43 10 34 32 35 6 32 40 37 ]
[ 48 48 46 48 49 38 42 9 23 18 16 9 10 38 36 2 9 23 10 0 28 19 35 43 42 38 27 2 42 3 3 ]
[ 49 9 50 1 21 48 25 16 50 20 21 4 28 24 34 12 29 43 1 28 0 29 50 13 47 12 5 31 36 5 6 ]
[ 21 39 1 46 36 13 42 15 37 14 9 24 14 1 15 36 29 20 1 19 29 0 50 35 10 23 35 32 32 35 1 ]
[ 21 42 15 43 15 21 36 28 37 7 30 36 46 40 14 43 21 34 43 35 50 50 0 33 37 48 36 23 17 7 3 ]
[ 5 21 31 43 18 28 10 14 6 5 32 19 3 4 2 17 6 11 10 43 13 35 33 0 47 49 14 18 30 29 23 ]
[ 22 1 20 9 44 9 12 8 41 34 23 41 7 33 38 45 19 38 34 42 47 10 37 47 0 7 23 38 38 41 21 ]
[ 33 22 49 29 17 50 19 32 5 21 29 30 37 33 39 15 13 27 32 38 12 23 48 49 7 0 5 1 3 14 45 ]
[ 21 16 25 38 10 11 23 23 20 12 25 22 38 16 25 2 33 37 35 27 5 35 36 14 23 5 0 25 42 2 32 ]
[ 44 20 34 41 29 32 32 28 44 22 8 31 6 16 25 20 3 8 6 2 31 32 23 18 38 1 25 0 2 43 1 ]
[ 23 15 3 50 40 16 50 44 35 27 19 39 33 33 1 39 36 9 32 42 36 32 17 30 38 3 42 2 0 45 45 ]
[ 41 40 45 46 12 8 7 17 15 19 18 29 18 21 1 22 38 18 40 3 5 35 7 29 41 14 2 43 45 0 28 ]
[ 42 18 13 2 34 36 21 21 25 34 30 13 50 48 40 5 15 49 37 3 6 1 3 23 21 45 32 1 45 28 0 ]
 ];

