K = 15;

P = [ 11 45 69 98 79 10 99 33 45 31 43 48 93 44 78 ];

R = [ 42 35 13 9 20 13 36 23 32 10 46 23 36 19 5 ];

A = [ 5 3 2 2 3 2 2 6 5 3 5 4 2 2 4 ];

C = [ 2 3 4 9 4 6 6 9 5 7 8 7 6 4 6 ];

N = 40;

M = [
[ 0 8 31 27 27 13 39 25 11 25 8 15 3 14 18 18 10 40 19 43 14 15 36 8 15 50 40 43 44 10 26 43 33 25 19 20 25 13 21 16 ]
[ 8 0 10 1 38 8 12 3 23 39 8 6 1 9 31 15 24 2 11 35 16 43 13 7 30 46 21 6 44 27 36 13 17 27 17 4 36 19 13 26 ]
[ 31 10 0 26 16 33 17 29 47 42 33 13 6 26 33 15 37 14 38 26 38 37 23 47 9 22 31 23 13 5 36 40 43 23 39 40 19 38 14 2 ]
[ 27 1 26 0 8 4 33 1 38 40 39 17 36 8 38 34 11 2 22 16 27 3 30 46 6 50 9 14 15 45 14 21 37 28 47 26 18 46 12 17 ]
[ 27 38 16 8 0 21 29 36 14 14 28 1 27 42 7 31 44 42 15 18 5 50 29 49 17 48 10 37 4 15 16 11 28 39 37 6 26 19 50 25 ]
[ 13 8 33 4 21 0 39 36 13 4 24 17 19 38 9 27 34 27 39 46 26 25 23 48 25 43 11 15 24 16 40 10 29 15 16 46 19 7 12 10 ]
[ 39 12 17 33 29 39 0 25 50 47 8 7 43 23 29 16 3 4 25 3 33 50 48 14 24 16 7 39 48 10 12 21 7 48 13 40 10 45 4 45 ]
[ 25 3 29 1 36 36 25 0 40 22 43 28 11 25 17 16 50 18 44 8 47 34 12 22 5 48 32 31 3 28 43 32 30 29 25 43 36 5 45 41 ]
[ 11 23 47 38 14 13 50 40 0 25 26 33 23 45 32 22 15 43 8 3 32 18 10 45 2 12 46 35 29 47 16 43 1 49 12 3 46 11 48 22 ]
[ 25 39 42 40 14 4 47 22 25 0 36 28 2 20 6 10 48 35 12 45 30 44 50 23 9 44 42 3 5 1 27 29 3 22 4 30 38 22 48 28 ]
[ 8 8 33 39 28 24 8 43 26 36 0 26 36 17 13 22 48 2 30 16 8 13 19 10 30 24 44 7 50 29 31 40 41 10 13 5 21 49 16 31 ]
[ 15 6 13 17 1 17 7 28 33 28 26 0 33 26 15 39 38 44 43 10 28 13 44 35 41 46 43 22 49 35 1 10 30 1 10 28 29 26 33 10 ]
[ 3 1 6 36 27 19 43 11 23 2 36 33 0 27 6 37 24 38 38 34 17 49 41 12 23 19 46 42 25 28 30 48 16 44 21 19 32 19 6 18 ]
[ 14 9 26 8 42 38 23 25 45 20 17 26 27 0 39 38 30 12 27 8 39 16 19 9 13 8 9 44 14 26 11 32 11 27 1 39 14 33 20 6 ]
[ 18 31 33 38 7 9 29 17 32 6 13 15 6 39 0 2 18 12 42 29 13 18 49 42 30 1 34 5 27 47 38 34 22 35 28 31 21 40 24 22 ]
[ 18 15 15 34 31 27 16 16 22 10 22 39 37 38 2 0 47 36 27 8 46 8 45 28 44 13 45 15 8 39 24 33 22 26 44 16 31 13 48 34 ]
[ 10 24 37 11 44 34 3 50 15 48 48 38 24 30 18 47 0 32 19 10 1 41 17 49 25 34 41 45 41 31 31 24 50 13 10 34 5 9 2 6 ]
[ 40 2 14 2 42 27 4 18 43 35 2 44 38 12 12 36 32 0 17 48 29 50 18 28 24 40 8 46 43 32 28 46 43 20 35 12 13 19 50 14 ]
[ 19 11 38 22 15 39 25 44 8 12 30 43 38 27 42 27 19 17 0 7 47 26 36 7 15 3 3 10 7 11 5 17 15 18 17 39 31 2 20 47 ]
[ 43 35 26 16 18 46 3 8 3 45 16 10 34 8 29 8 10 48 7 0 11 43 48 7 24 15 23 50 21 36 14 5 46 38 42 35 50 24 26 20 ]
[ 14 16 38 27 5 26 33 47 32 30 8 28 17 39 13 46 1 29 47 11 0 48 24 22 42 11 36 35 39 31 34 35 35 34 45 23 23 23 16 6 ]
[ 15 43 37 3 50 25 50 34 18 44 13 13 49 16 18 8 41 50 26 43 48 0 21 12 20 41 42 23 8 41 29 48 18 40 48 22 36 40 13 35 ]
[ 36 13 23 30 29 23 48 12 10 50 19 44 41 19 49 45 17 18 36 48 24 21 0 39 19 25 41 26 14 7 24 41 2 49 15 11 30 41 26 21 ]
[ 8 7 47 46 49 48 14 22 45 23 10 35 12 9 42 28 49 28 7 7 22 12 39 0 46 7 40 35 18 50 34 26 40 42 47 47 43 41 9 8 ]
[ 15 30 9 6 17 25 24 5 2 9 30 41 23 13 30 44 25 24 15 24 42 20 19 46 0 31 37 31 36 13 41 37 29 32 28 44 1 6 49 1 ]
[ 50 46 22 50 48 43 16 48 12 44 24 46 19 8 1 13 34 40 3 15 11 41 25 7 31 0 24 6 32 50 5 28 6 9 45 19 41 32 30 18 ]
[ 40 21 31 9 10 11 7 32 46 42 44 43 46 9 34 45 41 8 3 23 36 42 41 40 37 24 0 42 29 49 7 29 15 2 47 4 17 26 3 31 ]
